check,passed,value,expected
model_names_match_issue_2,True,CMR|CMR_LPP_General|CMR_LPP_EmotionalOnly|CMR_LPP_Full|EEM_CMR|EEM_CMR_LPP_General|EEM_CMR_LPP_EmotionalOnly|EEM_CMR_LPP_Full|CategoryOnly_eCMR|CategoryOnly_eCMR_LPP_General|CategoryOnly_eCMR_LPP_EmotionalOnly|CategoryOnly_eCMR_LPP_Full|EEM_eCMR|EEM_eCMR_LPP_General|EEM_eCMR_LPP_EmotionalOnly|EEM_eCMR_LPP_Full,CMR|CMR_LPP_General|CMR_LPP_EmotionalOnly|CMR_LPP_Full|EEM_CMR|EEM_CMR_LPP_General|EEM_CMR_LPP_EmotionalOnly|EEM_CMR_LPP_Full|CategoryOnly_eCMR|CategoryOnly_eCMR_LPP_General|CategoryOnly_eCMR_LPP_EmotionalOnly|CategoryOnly_eCMR_LPP_Full|EEM_eCMR|EEM_eCMR_LPP_General|EEM_eCMR_LPP_EmotionalOnly|EEM_eCMR_LPP_Full
model_count,True,16,16
unique_model_count,True,16,16
post_update_learning,True,True,True
nesting_edge_count,True,24,24
learning_strength_link,True,log,log
lpp_slope_direction,True,nonnegative,nonnegative
pooled,True,True,True
termination_excluded_from_likelihood,True,True,True
no_stop_policy,True,True,True
free_parameter_counts,True,9;10;10;11;10;11;11;12;11;12;12;13;12;13;13;14,9;10;10;11;10;11;11;12;11;12;12;13;12;13;13;14
source_learning_scale_free,True,True,True
source_encoding_drift_free,True,True,True
source_recall_drift_fixed_one,True,True,True
source_parameters_absent_from_temporal_models,True,True,True
lpp_log_slope_bounds,True,True,True
nesting_edges_add_one_parameter,True,True,True
list_count,True,342,342
centered_lpp_minimum,True,-8.34059522524476,-8.3405953
centered_lpp_maximum,True,10.732445725798607,10.732445846153846
flat_output_template_parameters,True,fit_dir;simulation_dir;figure_dir;output_stem;exist_ok,fit_dir;simulation_dir;figure_dir;output_stem;exist_ok
model_factories_instantiated,True,16,16
