source_type,source_id,source_label,diagnostic_id,diagnostic_label,estimate,lower,upper,interval,confidence_level,n_units
observed,Observed,Observed data,recall_gap,Negative - Neutral recall rate,0.12262649237535789,0.08623967558211258,0.16018143266201867,Participant percentile bootstrap,0.95,38
observed,Observed,Observed data,lpp_negative,Recalled - Unrecalled Early LPP: Negative,0.4231229002462651,0.29072065181069023,0.5529422553075464,Participant percentile bootstrap,0.95,38
observed,Observed,Observed data,lpp_neutral,Recalled - Unrecalled Early LPP: Neutral,0.015148480983917925,-0.08795166472130049,0.12055800863320046,Participant percentile bootstrap,0.95,38
predicted,CategoryOnly_eCMR_LPP_EmotionalOnly,No categorical enhancement + Emotion-dependent LPP,recall_gap,Negative - Neutral recall rate,0.018847791211000744,-0.00489990818822843,0.03802875225139524,Central interval across complete simulated datasets,0.95,200
predicted,CategoryOnly_eCMR_LPP_EmotionalOnly,No categorical enhancement + Emotion-dependent LPP,lpp_negative,Recalled - Unrecalled Early LPP: Negative,0.4467600413507271,0.3161385679200442,0.5655271218364701,Central interval across complete simulated datasets,0.95,200
predicted,CategoryOnly_eCMR_LPP_EmotionalOnly,No categorical enhancement + Emotion-dependent LPP,lpp_neutral,Recalled - Unrecalled Early LPP: Neutral,0.012746749539049307,-0.08214246012775016,0.10153408535824601,Central interval across complete simulated datasets,0.95,200
predicted,EEM_eCMR,Categorical enhancement + No LPP,recall_gap,Negative - Neutral recall rate,0.11774209421145883,0.09742274824779995,0.14099484364405124,Central interval across complete simulated datasets,0.95,200
predicted,EEM_eCMR,Categorical enhancement + No LPP,lpp_negative,Recalled - Unrecalled Early LPP: Negative,0.006394929791373053,-0.1310751728186595,0.1453251179763645,Central interval across complete simulated datasets,0.95,200
predicted,EEM_eCMR,Categorical enhancement + No LPP,lpp_neutral,Recalled - Unrecalled Early LPP: Neutral,-0.0007899343223927682,-0.08905159932608109,0.08368909084973779,Central interval across complete simulated datasets,0.95,200
predicted,EEM_eCMR_LPP_General,Categorical enhancement + General LPP,recall_gap,Negative - Neutral recall rate,0.1338972611224809,0.11190828393803422,0.1541935094210301,Central interval across complete simulated datasets,0.95,200
predicted,EEM_eCMR_LPP_General,Categorical enhancement + General LPP,lpp_negative,Recalled - Unrecalled Early LPP: Negative,0.3169124781264086,0.19049770601030225,0.42678375161876886,Central interval across complete simulated datasets,0.95,200
predicted,EEM_eCMR_LPP_General,Categorical enhancement + General LPP,lpp_neutral,Recalled - Unrecalled Early LPP: Neutral,0.05893328559075764,-0.028742892136310472,0.15978263089699846,Central interval across complete simulated datasets,0.95,200
predicted,EEM_eCMR_LPP_EmotionalOnly,Categorical enhancement + Emotion-dependent LPP,recall_gap,Negative - Neutral recall rate,0.1299310620564988,0.10727225258387037,0.15421000775325133,Central interval across complete simulated datasets,0.95,200
predicted,EEM_eCMR_LPP_EmotionalOnly,Categorical enhancement + Emotion-dependent LPP,lpp_negative,Recalled - Unrecalled Early LPP: Negative,0.3357064517134925,0.2123249794499585,0.4430848588018164,Central interval across complete simulated datasets,0.95,200
predicted,EEM_eCMR_LPP_EmotionalOnly,Categorical enhancement + Emotion-dependent LPP,lpp_neutral,Recalled - Unrecalled Early LPP: Neutral,0.006865177701560953,-0.08880414564524125,0.09989648791828885,Central interval across complete simulated datasets,0.95,200
