model_code,emotion_based_learning_boost,full_registry_id,implementation_parameter,manuscript_symbol,description,estimate,status,provenance,lower_bound,upper_bound
G,No,CategoryOnly_eCMR_LPP_Full,encoding_drift_rate,\beta_{\mathrm{enc}}^{T},Temporal-context drift at study,0.6391890645027161,free,raw Full optimizer output,2.220446049250313e-16,0.9999999999999998
G,No,CategoryOnly_eCMR_LPP_Full,source_encoding_drift_rate,\beta_{\mathrm{enc}}^{S},Source-context drift at study,0.0480734258890152,free,raw Full optimizer output,2.220446049250313e-16,0.9999999999999998
G,No,CategoryOnly_eCMR_LPP_Full,start_drift_rate,\beta_{\mathrm{start}},Pre-recall drift toward start-of-list context,0.9992769956588745,free,raw Full optimizer output,2.220446049250313e-16,0.9999999999999998
G,No,CategoryOnly_eCMR_LPP_Full,recall_drift_rate,\beta_{\mathrm{rec}}^{T},Temporal-context reinstatement after recall,0.1968233734369278,free,raw Full optimizer output,2.220446049250313e-16,0.9999999999999998
G,No,CategoryOnly_eCMR_LPP_Full,source_recall_drift_rate,\beta_{\mathrm{rec}}^{S},Source-context reinstatement after recall,1.0,fixed,fixed by Full model,,
G,No,CategoryOnly_eCMR_LPP_Full,shared_support,\alpha,Shared pre-experimental context-to-item support,6.421429634094238,free,raw Full optimizer output,2.220446049250313e-16,100.0
G,No,CategoryOnly_eCMR_LPP_Full,item_support,\delta,Item-specific pre-experimental context-to-item support,29.36248207092285,free,raw Full optimizer output,2.220446049250313e-16,100.0
G,No,CategoryOnly_eCMR_LPP_Full,learning_rate,\gamma,Feature-to-context learning rate,0.4833521246910095,free,raw Full optimizer output,2.220446049250313e-16,0.9999999999999998
G,No,CategoryOnly_eCMR_LPP_Full,primacy_scale,\phi_s,Primacy scale,0.2966429591178894,free,raw Full optimizer output,2.220446049250313e-16,100.0
G,No,CategoryOnly_eCMR_LPP_Full,primacy_decay,\phi_d,Primacy decay,1.0566660165786743,free,raw Full optimizer output,2.220446049250313e-16,100.0
G,No,CategoryOnly_eCMR_LPP_Full,choice_sensitivity,\tau_c,Recall-choice sensitivity,3.139051914215088,free,raw Full optimizer output,2.220446049250313e-16,100.0
G,No,CategoryOnly_eCMR_LPP_Full,source_learning_rate,\omega,Source learning relative to temporal learning,6.949695587158203,free,raw Full optimizer output,2.220446049250313e-16,10.0
G,No,CategoryOnly_eCMR_LPP_Full,emotion_scale,\phi_{\mathrm{emot}},Categorical multiplier for negative items,1.0,fixed,fixed by Full model,,
G,No,CategoryOnly_eCMR_LPP_Full,lpp_main_scale,\kappa,General Early-LPP slope on log learning strength,0.001683658454567194,free,raw Full optimizer output,0.0,0.21454430108484696
G,No,CategoryOnly_eCMR_LPP_Full,lpp_inter_scale,\kappa_{\mathrm{emot}},Emotion-dependent Early-LPP slope increment,0.1056194081902504,free,raw Full optimizer output,0.0,0.21454430108484696
H,Yes,EEM_eCMR_LPP_Full,encoding_drift_rate,\beta_{\mathrm{enc}}^{T},Temporal-context drift at study,0.7526938319206238,free,raw Full optimizer output,2.220446049250313e-16,0.9999999999999998
H,Yes,EEM_eCMR_LPP_Full,source_encoding_drift_rate,\beta_{\mathrm{enc}}^{S},Source-context drift at study,0.09063605219125748,free,raw Full optimizer output,2.220446049250313e-16,0.9999999999999998
H,Yes,EEM_eCMR_LPP_Full,start_drift_rate,\beta_{\mathrm{start}},Pre-recall drift toward start-of-list context,0.9999171495437622,free,raw Full optimizer output,2.220446049250313e-16,0.9999999999999998
H,Yes,EEM_eCMR_LPP_Full,recall_drift_rate,\beta_{\mathrm{rec}}^{T},Temporal-context reinstatement after recall,0.14938905835151672,free,raw Full optimizer output,2.220446049250313e-16,0.9999999999999998
H,Yes,EEM_eCMR_LPP_Full,source_recall_drift_rate,\beta_{\mathrm{rec}}^{S},Source-context reinstatement after recall,1.0,fixed,fixed by Full model,,
H,Yes,EEM_eCMR_LPP_Full,shared_support,\alpha,Shared pre-experimental context-to-item support,7.5664544105529785,free,raw Full optimizer output,2.220446049250313e-16,100.0
H,Yes,EEM_eCMR_LPP_Full,item_support,\delta,Item-specific pre-experimental context-to-item support,61.35744857788086,free,raw Full optimizer output,2.220446049250313e-16,100.0
H,Yes,EEM_eCMR_LPP_Full,learning_rate,\gamma,Feature-to-context learning rate,0.26261141896247864,free,raw Full optimizer output,2.220446049250313e-16,0.9999999999999998
H,Yes,EEM_eCMR_LPP_Full,primacy_scale,\phi_s,Primacy scale,0.7354971766471863,free,raw Full optimizer output,2.220446049250313e-16,100.0
H,Yes,EEM_eCMR_LPP_Full,primacy_decay,\phi_d,Primacy decay,0.8523863554000854,free,raw Full optimizer output,2.220446049250313e-16,100.0
H,Yes,EEM_eCMR_LPP_Full,choice_sensitivity,\tau_c,Recall-choice sensitivity,1.7813348770141602,free,raw Full optimizer output,2.220446049250313e-16,100.0
H,Yes,EEM_eCMR_LPP_Full,source_learning_rate,\omega,Source learning relative to temporal learning,3.5453085899353027,free,raw Full optimizer output,2.220446049250313e-16,10.0
H,Yes,EEM_eCMR_LPP_Full,emotion_scale,\phi_{\mathrm{emot}},Categorical multiplier for negative items,1.7822833061218262,free,raw Full optimizer output,2.220446049250313e-16,10.0
H,Yes,EEM_eCMR_LPP_Full,lpp_main_scale,\kappa,General Early-LPP slope on log learning strength,0.006866815034300089,free,raw Full optimizer output,0.0,0.21454430108484696
H,Yes,EEM_eCMR_LPP_Full,lpp_inter_scale,\kappa_{\mathrm{emot}},Emotion-dependent Early-LPP slope increment,0.1155889481306076,free,raw Full optimizer output,0.0,0.21454430108484696
